Farm_ID,Cycle_ID,DOC,PL__SIZE,Variant,Pond_Type,POND_SIZE_Ha,Stocking_Density,Temp,Temp_PM,pH,PH_PM,DO,Alkalinity,Ammonia,Nitrite,Nitrate,Salinity,FTF1,FTF2,FTF3,FTF4,Daily__feed,Cum_Feed,Avg_Weight,FCR
F001,C003,50,1.2,SyAqua,NP,0.809,400000,31,34,8,8.5,5.15,160,1.5,0,80,12,26,27,27,26,106,2409.9,,1.41
F001,C003,51,1.2,SyAqua,NP,0.809,400000,31,34,8,8.5,5.15,160,0.5,0,80,12,27,28,28,27,110,2519.9,,1.41
F001,C003,52,1.2,SyAqua,NP,0.809,400000,31,34,8,8.5,5.15,160,0.5,0,80,12,20,28,28,26,102,2621.9,,1.41
F001,C003,53,1.2,SyAqua,NP,0.809,400000,31,34,8,8.5,5.15,160,0.5,0,80,12,27,27,27,26,107,2728.9,,1.41
F001,C003,54,1.2,SyAqua,NP,0.809,400000,31,34,8,8.5,5.15,160,0.25,0,80,12,27,28,28,27,110,2838.9,,1.41
F001,C003,55,1.2,SyAqua,NP,0.809,400000,31,34,8,8.5,5.15,160,0,0,80,12,28,29,30,29,116,2954.9,,1.41
F001,C003,56,1.2,SyAqua,NP,0.809,400000,31,34,7.5,8.5,5.15,160,0,0,80,12,30,30,31,30,121,3075.9,,1.41
F001,C003,57,1.2,SyAqua,NP,0.809,400000,31,34,7.5,8.5,5.15,160,0,0,80,12,31,31,27,28,117,3192.9,,1.41
F001,C003,58,1.2,SyAqua,NP,0.809,400000,31,34,7.5,8.5,5.15,160,0,0,80,12,31,28,28,28,115,3307.9,,1.41
F001,C003,59,1.2,SyAqua,NP,0.809,400000,31,34,7.5,8,5.15,160,0,0,80,12,28,28,27,25,108,3415.9,9.8,1.41
F001,C003,60,1.2,SyAqua,NP,0.809,400000,31,34,7.5,8,5.15,160,0,0,80,12,25.4,28,30,29,112.4,3528.3,,1.41
F001,C003,61,1.2,SyAqua,NP,0.809,400000,31,33,7.5,8,5.15,160,0,0,80,12,30,29,30,29,118,3646.3,,1.41
F001,C003,62,1.2,SyAqua,NP,0.809,400000,31,33,7.5,8,5.15,160,0,0,80,12,30,30,31,29,120,3766.3,,1.41
F001,C003,63,1.2,SyAqua,NP,0.809,400000,31,33,7.5,8,5.15,160,0,0,80,12,31,31,32,30,124,3890.3,,1.41
F001,C003,64,1.2,SyAqua,NP,0.809,400000,31,33,7.5,8,5.15,160,0,0,80,12,32,33,32,30,127,4017.3,,1.41
F001,C003,65,1.2,SyAqua,NP,0.809,400000,31,33,7.5,7.5,5.15,160,0,0,80,12,32,33,32,30,127,4144.3,,1.41
F001,C003,66,1.2,SyAqua,NP,0.809,400000,31,33,7.5,7.5,5.15,160,0.25,0,80,12,33,31,31,29,124,4268.3,13.21,1.41
F001,C003,67,1.2,SyAqua,NP,0.809,400000,31,33,7.5,8,5.15,160,0.25,0,80,12,30,31,32,30,123,4391.3,,1.41
F001,C003,68,1.2,SyAqua,NP,0.809,400000,31,33,7.5,8,5.15,160,0,0,80,12,31,32,32,30,125,4516.3,,1.41
F001,C003,69,1.2,SyAqua,NP,0.809,400000,30,32,7.5,8,5.15,160,0,0,80,12,31,32,31,30,124,4640.3,,1.41
F001,C003,70,1.2,SyAqua,NP,0.809,400000,30,32,7.5,8,5.15,160,0.25,0,80,12,31,31,31,30,123,4763.3,,1.41
F001,C003,71,1.2,SyAqua,NP,0.809,400000,30,32,7.5,8,5.15,160,0.25,0,80,12,31,32,32,30,125,4888.3,,1.41
F001,C003,72,1.2,SyAqua,NP,0.809,400000,30,33,7.5,8,5.15,160,0.25,0,80,12,32,32,33,30,127,5015.3,16.91,1.41
F001,C003,73,1.2,SyAqua,NP,0.809,400000,30,33,7.5,8,5.15,160,0.25,0,80,12,31,32,33,31,127,5142.3,,1.41
F001,C003,74,1.2,SyAqua,NP,0.809,400000,30,33,7.5,8,5.15,160,0.25,0,80,12,33,33,33,32,131,5273.3,,1.41
F001,C003,75,1.2,SyAqua,NP,0.809,400000,30,33,7.5,8,5.15,160,0.25,0,80,12,33,34,35,33,135,5408.3,,1.41
F001,C003,76,1.2,SyAqua,NP,0.809,400000,30,33,7.5,8,5.15,160,0.5,0,80,12,35,35,36,35,141,5549.3,,1.41
F001,C003,77,1.2,SyAqua,NP,0.809,400000,30,33,7.5,8.5,5.15,160,1,0,80,12,36,36,37,36,145,5694.3,,1.41
